# Call-site audit for 0% functions
# ZERO refs = dead code; non-zero = unexercised path

LOCATION                                                     FUNCTION                          PROD_REFS  TEST_REFS      TOTAL
github.com/clearcompass-ai/ortholog-sdk/did/method_router.go:158: Resolve                                  38         39         77
github.com/clearcompass-ai/ortholog-sdk/did/pkh.go:120:      NewPKHResolver                            3          0          3
github.com/clearcompass-ai/ortholog-sdk/did/pkh.go:130:      NewPKHResolverWithNamespaces              3          0          3
github.com/clearcompass-ai/ortholog-sdk/did/pkh.go:145:      Resolve                                  38         39         77
github.com/clearcompass-ai/ortholog-sdk/did/pkh.go:255:      NewPKHDIDEthereum                         3          0          3
github.com/clearcompass-ai/ortholog-sdk/did/resolver.go:156: FindVerificationMethod                    2          0          2
github.com/clearcompass-ai/ortholog-sdk/did/resolver.go:270: Resolve                                  38         39         77
github.com/clearcompass-ai/ortholog-sdk/did/verifier_registry.go:165: NewVerifierRegistry                       8          0          8
github.com/clearcompass-ai/ortholog-sdk/did/verifier_registry.go:242: RegisteredMethods                         2          0          2
github.com/clearcompass-ai/ortholog-sdk/did/verifier_registry.go:256: BoundDestination                          2          0          2
github.com/clearcompass-ai/ortholog-sdk/exchange/auth/nonce_memory.go:129: ReservedAt                                2          0          2
github.com/clearcompass-ai/ortholog-sdk/exchange/auth/signed_request.go:362: VerifyRequest                             7         15         22
github.com/clearcompass-ai/ortholog-sdk/lifecycle/artifact_access.go:392: grantUmbralPRE                            3          0          3
github.com/clearcompass-ai/ortholog-sdk/lifecycle/provision.go:89: AllEntries                                2          0          2
github.com/clearcompass-ai/ortholog-sdk/lifecycle/recovery.go:533: Store                                     8         57         65
github.com/clearcompass-ai/ortholog-sdk/lifecycle/scope_governance.go:415: ExecuteAmendment                          4          1          5
github.com/clearcompass-ai/ortholog-sdk/lifecycle/scope_governance.go:607: ActivateRemoval                           2          0          2
github.com/clearcompass-ai/ortholog-sdk/lifecycle/scope_governance.go:647: BuildApprovalCosignature                  2          0          2
github.com/clearcompass-ai/ortholog-sdk/lifecycle/scope_governance.go:669: ComputeRemovedSet                         2          0          2
github.com/clearcompass-ai/ortholog-sdk/lifecycle/scope_governance.go:681: ComputeAddedSet                           2          0          2
github.com/clearcompass-ai/ortholog-sdk/schema/resolver.go:17: NewCachingResolver                        4          6         10
github.com/clearcompass-ai/ortholog-sdk/schema/resolver.go:21: Resolve                                  38         39         77
github.com/clearcompass-ai/ortholog-sdk/schema/resolver.go:39: cacheResult                               3          0          3
github.com/clearcompass-ai/ortholog-sdk/schema/shard_genesis.go:84: BuildShardGenesisPayload                  5          0          5
github.com/clearcompass-ai/ortholog-sdk/schema/shard_genesis.go:140: ShardGenesisSchemaParams                  3          0          3
github.com/clearcompass-ai/ortholog-sdk/types/escrow_package.go:19: SortShares                                1          0          1
github.com/clearcompass-ai/ortholog-sdk/types/log_position.go:24: Less                                      1          0          1
github.com/clearcompass-ai/ortholog-sdk/types/log_position.go:38: ValidateLogPosition                       1          0          1
github.com/clearcompass-ai/ortholog-sdk/types/smt_leaf.go:9: IsSelfReferential                         1          0          1
github.com/clearcompass-ai/ortholog-sdk/types/witness_rotation.go:17: IsDualSigned                              2          0          2
